X coords,Y coords,Z coords,Scalar
1.000000,1.000000,1.000000,0.000000
1.000000,0.000000,1.000000,0.031587
1.000000,1.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.030646
0.000000,1.000000,1.000000,0.000000
0.000000,0.000000,1.000000,0.027648
0.000000,1.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.028325
1.000000,0.500000,1.000000,0.024852
1.000000,1.000000,0.500000,0.019028
0.500000,1.000000,1.000000,0.018422
1.000000,0.500000,0.500000,0.026722
1.000000,0.000000,0.500000,0.032653
0.500000,0.500000,1.000000,0.026212
0.500000,0.000000,1.000000,0.029386
1.000000,0.500000,0.000000,0.023950
0.500000,1.000000,0.500000,0.020011
0.500000,1.000000,0.000000,0.018031
0.500000,0.500000,0.500000,0.026537
0.500000,0.000000,0.500000,0.031783
0.500000,0.500000,0.000000,0.025294
0.500000,0.000000,0.000000,0.030296
0.000000,0.500000,1.000000,0.022110
0.000000,1.000000,0.500000,0.015097
0.000000,0.500000,0.500000,0.024706
0.000000,0.000000,0.500000,0.029200
0.000000,0.500000,0.000000,0.023396
